Year,Quarter,Month,Day,Region,Sum of Sales
2011,Qtr 4,December,6,Asia,10907.815
2011,Qtr 4,December,6,Europe,6639.6
2011,Qtr 4,December,6,North America,27917.7555
2011,Qtr 4,December,7,Asia,7467.95
2011,Qtr 4,December,7,Europe,1544.4
2011,Qtr 4,December,7,North America,33983.97
2011,Qtr 4,December,8,Asia,7110.6145
2011,Qtr 4,December,8,Europe,254.48
2011,Qtr 4,December,8,North America,21337.18
2011,Qtr 4,December,9,Asia,1554.7585
2011,Qtr 4,December,9,Europe,3116.244
2011,Qtr 4,December,9,North America,26576.5875
2011,Qtr 4,December,10,Asia,1842.5245
2011,Qtr 4,December,10,Europe,4308.942
2011,Qtr 4,December,10,North America,18733.834
2011,Qtr 4,December,11,Asia,4055.65
2011,Qtr 4,December,11,Europe,6375.148
2011,Qtr 4,December,11,North America,51098.472
2011,Qtr 4,December,12,Asia,4470.373
2011,Qtr 4,December,12,Europe,20112.66
2011,Qtr 4,December,12,North America,4252.0585
2011,Qtr 4,December,13,Asia,20395.8
2011,Qtr 4,December,13,Europe,11402.006
2011,Qtr 4,December,13,North America,23624.8175
2011,Qtr 4,December,14,Asia,9195.975
2011,Qtr 4,December,14,Europe,24126.45
2011,Qtr 4,December,14,North America,42141.2925
2011,Qtr 4,December,15,Asia,31827.48
2011,Qtr 4,December,15,Europe,5032.8
2011,Qtr 4,December,15,North America,11792.206
2011,Qtr 4,December,16,Asia,7155.4
2011,Qtr 4,December,16,Europe,6655.566
2011,Qtr 4,December,16,North America,19533.4355
2011,Qtr 4,December,17,Asia,12176.3
2011,Qtr 4,December,17,Europe,3561.086
2011,Qtr 4,December,17,North America,42136.6925
2011,Qtr 4,December,18,Europe,7237.874
2011,Qtr 4,December,18,North America,24640.236
2011,Qtr 4,December,19,Asia,735.3
2011,Qtr 4,December,19,Europe,20827.846
2011,Qtr 4,December,19,North America,22829.5585
2011,Qtr 4,December,20,Asia,245.6415
2011,Qtr 4,December,20,Europe,1364.32
2011,Qtr 4,December,20,North America,49506.1145
2011,Qtr 4,December,21,Asia,8750.2
2011,Qtr 4,December,21,Europe,17080.806
2011,Qtr 4,December,21,North America,65149.412
2011,Qtr 4,December,22,Asia,78309.936
2011,Qtr 4,December,22,Europe,13756.6
2011,Qtr 4,December,22,North America,17564.782
2011,Qtr 4,December,23,Asia,36181.65
2011,Qtr 4,December,23,Europe,86.08
2011,Qtr 4,December,23,North America,53135.76
2011,Qtr 4,December,24,Asia,6552.6
2011,Qtr 4,December,24,Europe,2261.922
2011,Qtr 4,December,24,North America,18086.6145
2011,Qtr 4,December,25,Asia,5503.626
2011,Qtr 4,December,25,Europe,11386.728
2011,Qtr 4,December,25,North America,32453.336
2011,Qtr 4,December,26,Europe,2443.2
2011,Qtr 4,December,26,North America,18488.4605
2011,Qtr 4,December,27,Asia,1281.15
2011,Qtr 4,December,27,Europe,11552.64
2011,Qtr 4,December,27,North America,26320.985
2011,Qtr 4,December,28,Asia,20817.01
2011,Qtr 4,December,28,Europe,30843.2
2011,Qtr 4,December,28,North America,12232.861
2011,Qtr 4,December,29,Asia,5139.74
2011,Qtr 4,December,29,Europe,4560.764
2011,Qtr 4,December,29,North America,36158.5175
2011,Qtr 4,December,30,Asia,277.389
2011,Qtr 4,December,30,Europe,17133.06
2011,Qtr 4,December,30,North America,25887.668
2011,Qtr 4,December,31,Europe,7191.6
2011,Qtr 4,December,31,North America,11316.2755
2012,Qtr 1,January,1,Asia,287.2695
2012,Qtr 1,January,1,Europe,6687.198
2012,Qtr 1,January,1,North America,22867.2725
2012,Qtr 1,January,2,Asia,17360.441
2012,Qtr 1,January,2,Europe,27659.8
2012,Qtr 1,January,2,North America,17167.0575
2012,Qtr 1,January,3,Asia,8166.95
2012,Qtr 1,January,3,Europe,3829.884
2012,Qtr 1,January,3,North America,34417.26
2012,Qtr 1,January,4,Asia,11987.7
2012,Qtr 1,January,4,Europe,14474.332
2012,Qtr 1,January,4,North America,29561.399
2012,Qtr 1,January,5,Asia,157.365
2012,Qtr 1,January,5,Europe,10750.21
2012,Qtr 1,January,5,North America,30690.205
2012,Qtr 1,January,6,Asia,3833.912
2012,Qtr 1,January,6,Europe,21817.7368
2012,Qtr 1,January,6,North America,17863.952
2012,Qtr 1,January,7,Asia,185.556
2012,Qtr 1,January,7,Europe,19667.0382
2012,Qtr 1,January,7,North America,10848.76
2012,Qtr 1,January,8,Asia,3634.8
2012,Qtr 1,January,8,Europe,14649.104
2012,Qtr 1,January,8,North America,104412.747
2012,Qtr 1,January,9,Asia,2679.6
2012,Qtr 1,January,9,Europe,4455.7221
2012,Qtr 1,January,9,North America,8398.1005
2012,Qtr 1,January,10,Asia,17489.6
2012,Qtr 1,January,10,Europe,8498.107
2012,Qtr 1,January,10,North America,25451.9905
2012,Qtr 1,January,11,Asia,2554
2012,Qtr 1,January,11,Europe,8798.8949
2012,Qtr 1,January,11,North America,11880.6365
2012,Qtr 1,January,12,Asia,10796.34
2012,Qtr 1,January,12,Europe,719.5219
2012,Qtr 1,January,12,North America,3525.851
2012,Qtr 1,January,13,Asia,3411.96
2012,Qtr 1,January,13,Europe,18859.62
2012,Qtr 1,January,13,North America,22761.7085
2012,Qtr 1,January,14,Europe,5232.456
2012,Qtr 1,January,14,North America,21048.243
2012,Qtr 1,January,15,Asia,64.562
2012,Qtr 1,January,15,Europe,16190.8301
2012,Qtr 1,January,15,North America,27163.7275
2012,Qtr 1,January,16,Asia,4217.058
2012,Qtr 1,January,16,Europe,7007.76
2012,Qtr 1,January,16,North America,43026.506
2012,Qtr 1,January,17,Asia,15714.566
2012,Qtr 1,January,17,Europe,25917.3024
2012,Qtr 1,January,17,North America,13702.9455
2012,Qtr 1,January,18,Asia,3541.752
2012,Qtr 1,January,18,Europe,1608.9307
2012,Qtr 1,January,18,North America,33325.787
2012,Qtr 1,January,19,Asia,822.012
2012,Qtr 1,January,19,Europe,627
2012,Qtr 1,January,19,North America,30948.132
2012,Qtr 1,January,20,Asia,8127.514
2012,Qtr 1,January,20,Europe,16244.7467
2012,Qtr 1,January,20,North America,41674.934
2012,Qtr 1,January,21,Asia,14237.64
2012,Qtr 1,January,21,Europe,8452.4842
2012,Qtr 1,January,21,North America,14801.955
2012,Qtr 1,January,22,Asia,4391.2
2012,Qtr 1,January,22,Europe,7417.648
2012,Qtr 1,January,22,North America,57973.1555
2012,Qtr 1,January,23,Asia,14681.208
