Region,Country,TotalSales
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Azure,77
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Black,142
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Green,96
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Grey,207
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Orange,115
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Pink,89
A. Datum Corporation,A. Datum Advanced Digital Camera M300 Silver,103
A. Datum Corporation,A. Datum All in One Digital Camera M200 Azure,10
A. Datum Corporation,A. Datum All in One Digital Camera M200 Black,142
A. Datum Corporation,A. Datum All in One Digital Camera M200 Green,198
A. Datum Corporation,A. Datum All in One Digital Camera M200 Grey,140
A. Datum Corporation,A. Datum All in One Digital Camera M200 Orange,78
A. Datum Corporation,A. Datum All in One Digital Camera M200 Pink,155
A. Datum Corporation,A. Datum All in One Digital Camera M200 Silver,91
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Azure,141
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Black,113
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Green,205
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Grey,166
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Orange,212
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Pink,149
A. Datum Corporation,A. Datum Bridge Digital Camera M300 Silver,42
A. Datum Corporation,A. Datum Compact Digital Camera M200 Azure,113
A. Datum Corporation,A. Datum Compact Digital Camera M200 Green,154
A. Datum Corporation,A. Datum Compact Digital Camera M200 Grey,231
A. Datum Corporation,A. Datum Compact Digital Camera M200 Orange,237
A. Datum Corporation,A. Datum Compact Digital Camera M200 Pink,68
A. Datum Corporation,A. Datum Compact Digital Camera M200 Silver,125
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Azure,130
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Black,211
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Green,102
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Grey,64
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Orange,168
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Pink,94
A. Datum Corporation,A. Datum Consumer Digital Camera E100 Silver,198
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Azure,125
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Black,140
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Green,121
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Grey,22
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Orange,148
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Pink,137
A. Datum Corporation,A. Datum Consumer Digital Camera M300 Silver,18
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Azure,143
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Black,136
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Green,23
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Grey,115
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Orange,142
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Pink,189
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Silver,18
A. Datum Corporation,A. Datum Full Frame Digital Camera X300 Silver Grey,108
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,149
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,177
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,115
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,66
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,161
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,189
A. Datum Corporation,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,158
A. Datum Corporation,A. Datum Point n' Shoot Digital Camera M500 Azure,130
A. Datum Corporation,A. Datum Point n' Shoot Digital Camera M500 Grey,126
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Black,62
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Green,79
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Orange,199
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Pink,220
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Silver,38
A. Datum Corporation,A. Datum Point Shoot Digital Camera M500 Silver Grey,185
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Azure,48
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Black,104
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Green,115
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Grey,99
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Orange,113
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Pink,168
A. Datum Corporation,A. Datum Rangefinder Digital Camera X200 Silver,195
A. Datum Corporation,A. Datum Slim Digital Camera M180 Azure,153
A. Datum Corporation,A. Datum Slim Digital Camera M180 Black,117
A. Datum Corporation,A. Datum Slim Digital Camera M180 Green,38
A. Datum Corporation,A. Datum Slim Digital Camera M180 Grey,66
A. Datum Corporation,A. Datum Slim Digital Camera M180 Orange,60
A. Datum Corporation,A. Datum Slim Digital Camera M180 Pink,161
A. Datum Corporation,A. Datum Slim Digital Camera M180 Silver,44
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Black",100
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Blue",184
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Gold",68
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Grey",135
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Orange",110
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Pink",171
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Silver",195
A. Datum Corporation,"A. Datum SLR Camera 35"" M358 Silver Grey",155
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Black",208
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Blue",134
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Gold",241
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Grey",87
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Orange",273
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Pink",65
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Silver",112
A. Datum Corporation,"A. Datum SLR Camera 35"" X358 Silver Grey",115
A. Datum Corporation,A. Datum SLR Camera M135 Black,128
A. Datum Corporation,A. Datum SLR Camera M136 Silver,78
A. Datum Corporation,A. Datum SLR Camera M137 Grey,191
A. Datum Corporation,A. Datum SLR Camera M138 Silver Grey,63
A. Datum Corporation,A. Datum SLR Camera M139 Gold,172
A. Datum Corporation,A. Datum SLR Camera M140 Pink,124
A. Datum Corporation,A. Datum SLR Camera M141 Blue,109
A. Datum Corporation,A. Datum SLR Camera M142 Orange,85
A. Datum Corporation,A. Datum SLR Camera X135 Black,202
A. Datum Corporation,A. Datum SLR Camera X136 Silver,148
A. Datum Corporation,A. Datum SLR Camera X137 Grey,148
A. Datum Corporation,A. Datum SLR Camera X138 Silver Grey,149
A. Datum Corporation,A. Datum SLR Camera X139 Gold,23
A. Datum Corporation,A. Datum SLR Camera X140 Pink,88
A. Datum Corporation,A. Datum SLR Camera X141 Blue,34
A. Datum Corporation,A. Datum SLR Camera X142 Orange,88
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Azure,140
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Black,204
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Green,95
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Grey,30
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Orange,173
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Pink,90
A. Datum Corporation,A. Datum SLR-like Digital Camera M400 Silver,151
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Azure,174
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Black,102
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Green,107
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Grey,195
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Orange,164
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Pink,149
A. Datum Corporation,A. Datum Super-zoom Digital Camera X300 Silver,176
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Azure,106
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Black,123
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Green,115
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Grey,24
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Orange,145
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Pink,145
A. Datum Corporation,A. Datum Ultra Compact Digital Camera M190 Silver,124
Adventure Works,"Adventure Works 13"" Color TV E25 Black",114
Adventure Works,"Adventure Works 13"" Color TV E25 Silver",171
Adventure Works,"Adventure Works 13"" Color TV E25 White",106
