country,continent,lifeExp,pop,gdpPercap
A. Datum Corporation,Asia,1095334.345,80315.29999999999,659962.0647922999
A. Datum Corporation,Europe,787910.523,68779.80000000002,486524.9144080198
A. Datum Corporation,North America,2521737.14,210480.89999999962,1462021.2744982452
Adventure Works,Asia,1641526.239,124833.42999999996,941091.2054776689
Adventure Works,Europe,1468547.2952,110577.07999999996,796522.3334112896
Adventure Works,North America,4357630.1575,308583.12000000017,2420934.697553475
"Contoso, Ltd",Asia,2189424.686,155020.6699999999,1261808.328626407
"Contoso, Ltd",Europe,1833012.3857,159312.24000000005,1003689.0103426551
"Contoso, Ltd",North America,5974312.947,448035.1899999981,3404662.32118922
"Fabrikam, Inc.",Asia,2665951.475,203018.30000000002,1552095.3552496592
"Fabrikam, Inc.",Europe,2111089.771,207878.10000000003,1274537.021815806
"Fabrikam, Inc.",North America,7277240.2375,595908.1500000003,4332344.594120582
"Litware, Inc.",Asia,442080.44,38236.80000000002,234616.21396601992
"Litware, Inc.",Europe,382569.574,41539.500000000015,201241.41335830995
"Litware, Inc.",North America,1310186.82,107530.49999999991,684429.2598640561
Northwind Traders,Asia,34129.324,1916.02,15664.813104669001
Northwind Traders,Europe,23041.9793,2238.870000000001,11533.302114703003
Northwind Traders,North America,79400.663,6543.469999999993,46329.8912012
"Proseware, Inc.",Asia,1330451.05,107435.9,782143.0455548736
"Proseware, Inc.",Europe,1084498.92,102295.69999999998,636932.7368553752
"Proseware, Inc.",North America,3581879.0575,307574.35000000003,2094048.8669718003
Southridge Video,Asia,626604.2315,50263.290000000015,322894.1002176621
Southridge Video,Europe,570135.9089,52377.439999999966,292051.3136851758
Southridge Video,North America,1915990.341,161785.4500000001,995067.6582003472
The Phone Company,Asia,954290.95,72084,548407.8387836578
The Phone Company,Europe,858373.56,76304,473457.87397578784
The Phone Company,North America,2573499.75,221338,1454282.5674349621
Wide World Importers,Asia,1432552.316,102190.82999999996,826010.8690510642
Wide World Importers,Europe,1076677.799,88692.30999999992,597423.0189101441
Wide World Importers,North America,3191679.902,234631.74000000002,1774709.3824765314
